nome,cpf,data_nascimento,idade,endereco,estado,pais
Cauê da Costa,77315966112,12/06/2025,102.0,Lagoa Nunes Vila Maloca 03767465 Viana da Praia / RS,SP,Brasil
Murilo Correia,78978539524,18/05/2029,13.0,"Sítio João Pedro Silveira, 71 Grotinha 94513-485 Cardoso de Minas / MT",SC,Brasil
Isis Rodrigues,88196972347,10/09/2040,8.0,"Ladeira Davi Aragão, 729 São Sebastião 43710-310 Alves / CE",RR,Brasil
Mariana Peixoto,67219658793,17/07/1905,112.0,"Via de Lima, 678 Dom Silverio 89498288 Duarte / ES",MT,Brasil
Srta. Luana Rezende,57007134398,02/06/1927,120.0,Residencial João Felipe Araújo Diamante 01990-848 Barros da Mata / RN,MG,Brasil
Juan Porto,87149515569,12/01/2037,107.0,"Aeroporto de Moraes, 702 Santa Rosa 78651-295 Rodrigues / RJ",TO,Brasil
Stella Castro,89082892815,24/02/2032,2.0,"Vereda de Ribeiro, 44 Jaqueline 33644343 Nogueira Grande / PI",SC,Brasil
Stephany Correia,98943336139,12/01/1948,115.0,"Ladeira de Freitas, 7 Beira Linha 89999452 Novaes do Oeste / PI",PB,Brasil
Lara Caldeira,31009267879,08/01/1902,108.0,Via Mariane Cardoso Alpes 45133128 Costa de Goiás / PB,RS,Brasil
Cauê Barros,21134156419,28/10/1944,102.0,"Trecho de Moura, 61 Vila Real 1ª Seção 29891-696 Ribeiro / MG",PB,Brasil
Sabrina Caldeira,60652186205,03/06/2029,106.0,"Sítio Melo, 2 Vila Jardim Alvorada 69283-311 Peixoto / RN",TO,Brasil
Lara Dias,59965105310,,,,SE,Brasil
Davi Lucas Duarte,44315839752,27/08/2036,4.0,Área de da Cruz Bairro Das Indústrias Ii 41336-712 das Neves de Pinto / RN,AC,Brasil
Maria Fernanda da Mata,57802548943,12/02/2039,104.0,"Trecho Thiago Azevedo, 23 Frei Leopoldo 23189942 Viana de Freitas / AM",PR,Brasil
Vitor Gabriel Ramos,39791606226,14/05/2044,113.0,"Lago de Martins, 91 Vila São Geraldo 66420017 Santos / GO",RR,Brasil
Luiz Gustavo Peixoto,80990066216,26/11/1900,11.0,"Ladeira da Mata, 9 Barreiro 19840-589 Santos da Serra / SP",TO,Brasil
Ana Luiza Rocha,95415611250,11/06/2035,11.0,"Aeroporto da Conceição, 73 Engenho Nogueira 90663-977 Pereira / RR",ES,Brasil
Isabel das Neves,47252532747,23/02/2031,105.0,"Vereda de das Neves, 88 Boa União 2ª Seção 72353328 Jesus Grande / PB",MG,Brasil
Dr. Theo Campos,78641600903,27/06/2034,105.0,"Sítio Cardoso, 14 Jardim Guanabara 02275612 Alves / PI",MS,Brasil
Maysa Barros,62844810951,,,,PA,Brasil
Sr. Guilherme Rocha,34060667693,,,,TO,Brasil
Dr. Joaquim Monteiro,52838439716,20/06/1911,12.0,"Morro de Correia, 21 Morro Dos Macacos 61994998 Farias / PI",RJ,Brasil
Lucas Campos,53064201117,21/05/2040,3.0,"Morro Francisco Silveira, 69 Anchieta 56659487 Oliveira da Mata / MS",MA,Brasil
Cecília da Costa,41740611340,14/02/2036,0.0,"Jardim Caldeira, 920 Nova Suíça 43270-210 da Rocha / TO",AL,Brasil
Isaac Dias,14164124905,01/05/1925,3.0,"Loteamento Nunes, 10 Providencia 45238-773 da Costa / MG",PE,Brasil
Enzo da Rosa,37533434219,10/01/2050,13.0,"Morro Teixeira, 40 Vila Independencia 1ª Seção 28716832 Nogueira Paulista / RJ",CE,Brasil
Agatha Martins,54216822966,25/07/2045,117.0,"Feira de Vieira, 16 Ouro Minas 56659-912 Moreira do Oeste / MS",RJ,Brasil
Eduarda Cardoso,75810410869,,,,PR,Brasil
Vitor das Neves,84155845324,21/03/2048,14.0,"Área de Rodrigues, 13 Marieta 3ª Seção 41335-143 Melo dos Dourados / SP",RN,Brasil
Arthur Martins,82995149514,17/08/1945,118.0,"Via de Gonçalves, 32 Nova Esperança 77139639 Pires / MA",RN,Brasil
Diego Almeida,47403704672,17/09/2038,13.0,Fazenda de Nascimento Betânia 34908276 Melo do Campo / RJ,SP,Brasil
Beatriz Cardoso,20500614491,13/08/2049,14.0,"Setor Noah Nogueira, 68 Padre Eustáquio 55266-215 Campos Paulista / PR",SP,Brasil
Sr. Bruno Moreira,13666365586,24/02/2048,15.0,"Campo Yago Barros, 7 Santo André 10639-446 Peixoto das Flores / SE",PB,Brasil
Arthur Ferreira,85738881010,15/05/1932,9.0,"Ladeira de Carvalho, 5 Jardim Leblon 28899-555 Alves / RJ",AL,Brasil
Srta. Raquel Porto,23275190238,16/10/2026,111.0,"Fazenda Maria Rezende, 836 Beira Linha 60619674 Cunha / PB",MA,Brasil
Isaac Souza,98242044181,06/04/1936,0.0,"Ladeira Bruna Silva, 45 Granja Werneck 82075-956 Silva de Castro / BA",RN,Brasil
Miguel Teixeira,95786615506,08/02/2031,0.0,"Colônia Yago Barbosa, 58 Vila Petropolis 96842-716 Martins / PE",GO,Brasil
Heloísa Jesus,63342372741,15/05/1923,12.0,"Praia Pedro Miguel Castro, 79 Heliopolis 95032644 Pereira / ES",PI,Brasil
Elisa Cardoso,34550937083,16/03/2046,10.0,"Aeroporto Ana da Conceição, 9 Vila Mangueiras 89115-775 das Neves de Nascimento / RN",RN,Brasil
Srta. Ana Lívia Barros,30699847943,24/04/2035,102.0,Conjunto Agatha Moraes Cenaculo 29320-885 Farias / MG,MS,Brasil
Sr. Breno da Mata,98585961387,,,,DF,Brasil
Ana Júlia Gomes,22342316906,11/05/2036,106.0,"Morro Monteiro, 83 Marajó 17000-957 Carvalho de da Paz / PE",SC,Brasil
João Pedro da Costa,48356137629,,,,GO,Brasil
João Gabriel Novaes,55790140042,11/04/1944,101.0,"Passarela Ramos, 1 Nazare 93723392 Santos do Norte / TO",DF,Brasil
Benício Caldeira,36789711456,02/12/2034,100.0,"Loteamento de Moura, 69 Vila Pinho 41051255 da Rosa / MS",BA,Brasil
Luiz Miguel Pereira,75086240242,15/09/1928,6.0,"Via de da Rosa, 69 São João Batista 11422-060 Cunha / RO",MG,Brasil
Luiz Felipe Rocha,25195896436,15/05/1925,15.0,"Loteamento Enzo Gonçalves, 64 São Damião 78815-861 Barbosa de Ramos / DF",MG,Brasil
Guilherme Castro,84520789711,10/12/2039,5.0,"Rua Ramos, 45 Castelo 63598775 Monteiro / RN",AM,Brasil
Luna da Cruz,24573207452,21/10/2031,14.0,"Condomínio de Nunes, 999 Vila Ecológica 55962181 Moura / AM",ES,Brasil
Sr. Murilo Vieira,28261826751,,,,PA,Brasil
Ana Clara Nunes,59396747483,,,,PB,Brasil
Lorenzo Cunha,31379446416,24/09/1932,108.0,"Vila Ribeiro, 549 Itaipu 36439998 Viana da Prata / AP",AP,Brasil
Benjamin da Cunha,65760943494,23/08/1908,109.0,"Praça de Silva, 93 Conjunto Celso Machado 99879-587 Nunes / AM",RJ,Brasil
João Miguel Martins,96012608765,16/08/2046,10.0,"Vila de Silva, 4 Canadá 71082-819 da Paz do Norte / AL",AC,Brasil
Mariana Souza,72859241750,16/03/2048,14.0,"Estrada de Moura, 12 Mangueiras 83775094 das Neves da Praia / GO",PE,Brasil
Cauã da Rocha,31665599997,09/11/1927,12.0,Estação Raul Sales Santa Margarida 94480-852 Gonçalves das Flores / TO,RN,Brasil
Pedro Lucas Pinto,63269543767,16/07/2026,117.0,"Loteamento Ribeiro, 894 Santa Branca 42032791 Aragão / SP",CE,Brasil
Vinicius Cavalcanti,43921352222,01/11/1932,118.0,"Vale Castro, 42 Satelite 58678552 Gomes dos Dourados / SP",PR,Brasil
Dr. Felipe Mendes,54155510605,16/09/2041,100.0,"Fazenda de Cardoso, 165 Jardim Leblon 26684-091 Costela do Campo / MS",AP,Brasil
Luiz Otávio Peixoto,18423834835,25/04/2049,12.0,"Viela Cunha, 74 Aparecida 7ª Seção 39666-393 Rezende / AM",PI,Brasil
Srta. Maria Vitória Gomes,39376814248,,,,RO,Brasil
Enzo Gabriel Rocha,84937508176,17/06/2045,0.0,"Largo da Costa, 11 Jardim Do Vale 41266544 Ribeiro Grande / TO",RO,Brasil
Sarah da Luz,38677633290,16/10/2025,7.0,"Sítio Brenda Farias, 86 Vila Coqueiral 52104-881 Santos / AP",PB,Brasil
Sra. Júlia Peixoto,61374549957,27/04/2028,8.0,Rodovia Santos Serrano 00974-425 Viana da Mata / SP,MS,Brasil
Rafaela Moura,97135752553,04/07/1919,102.0,Loteamento de da Cunha Caiçara - Adelaide 82621334 Rocha / MS,SC,Brasil
Enrico Cardoso,91909100341,02/02/1900,2.0,"Ladeira de Rocha, 18 Outro 65808-257 Gomes de Oliveira / PB",GO,Brasil
Letícia Sales,89948087081,01/08/2028,101.0,"Núcleo de Melo, 10 Vila Nova Gameleira 1ª Seção 35069-607 Costa / AM",MA,Brasil
Lavínia Azevedo,48071389879,02/01/1944,11.0,"Residencial de Cardoso, 8 Pompéia 00359342 Souza / RS",AM,Brasil
João Miguel Lima,12872116932,01/06/1908,106.0,Esplanada Duarte Santa Sofia 89128314 Cardoso de Freitas / RS,PE,Brasil
Ana Carolina Costa,98008430208,16/05/1911,0.0,Praça Costa Ernesto Nascimento 56361-975 Martins do Galho / SP,AL,Brasil
Luiz Gustavo Rocha,41253790440,10/08/2034,120.0,Vila de da Paz Floresta 96243291 Silva de da Conceição / PB,AC,Brasil
Enzo Gabriel Gomes,91174124741,15/02/1934,117.0,"Recanto Larissa Correia, 54 Virgínia 76281016 Araújo da Serra / PA",BA,Brasil
Dr. Gabriel Pires,54794446376,12/05/2028,2.0,Alameda de Cardoso Vila Jardim Leblon 45013545 Duarte / SC,MT,Brasil
Maria Clara Azevedo,68536294482,,,,MS,Brasil
Isis Oliveira,90430642996,,,,PB,Brasil
Brenda Ramos,15590806563,14/01/2035,120.0,"Estação de Aragão, 83 Indaiá 01882-779 Costela da Prata / AP",GO,Brasil
Mirella Azevedo,94642259146,,,,MA,Brasil
Esther Azevedo,61685753283,13/12/2027,9.0,Passarela Maria Alice Rocha Pindorama 56143127 Rodrigues de Nunes / SE,MT,Brasil
Calebe Araújo,30497464339,27/11/1947,5.0,Distrito Daniel Viana Minas Brasil 44527406 Moura de Fogaça / SE,GO,Brasil
Olivia Moura,42894356517,19/10/1914,11.0,Esplanada Campos Belmonte 70192988 Barbosa do Amparo / BA,PI,Brasil
Luiza Aragão,21747235724,,,,PA,Brasil
Emanuelly Correia,99718847051,23/03/2027,109.0,"Alameda da Mata, 4 Juliana 52146987 Pinto / AP",MT,Brasil
Gabriel Silva,54031061602,11/12/2035,14.0,"Pátio Fernandes, 1 Vila Sumaré 58648287 Cardoso de Carvalho / GO",RO,Brasil
Fernanda Cardoso,94687159677,21/02/2048,114.0,Pátio Emilly Barros Salgado Filho 36491-247 da Mota das Pedras / BA,BA,Brasil
Murilo Cavalcanti,85502447371,28/01/1943,8.0,"Setor de Cardoso, 638 São Jorge 3ª Seção 77193-521 da Conceição / MG",AL,Brasil
João Felipe Rodrigues,45273298015,18/12/1936,8.0,"Estrada da Rocha, 10 Corumbiara 79044324 Correia de Nascimento / MG",AC,Brasil
Dr. Rodrigo Novaes,47027914342,,,,AP,Brasil
Valentina da Conceição,89845244148,24/05/2039,103.0,"Trevo Stella Almeida, 573 Graça 93177-652 Moreira / PB",PA,Brasil
Stephany Freitas,79243345833,09/04/1907,6.0,"Praia Araújo, 34 Mala E Cuia 40106037 Ribeiro / RS",CE,Brasil
Stephany Moura,63320774535,16/06/1913,116.0,Área Daniela Cardoso Vila São Geraldo 47385090 Porto / MT,TO,Brasil
Lara Lopes,24808298231,06/10/1934,111.0,Jardim de Mendes Nossa Senhora Do Rosário 13234-587 Novaes Grande / ES,AP,Brasil
Thomas Nunes,40044219732,12/03/2039,4.0,"Setor Stephany da Rocha, 26 Olhos D'água 41780940 Ramos / RJ",AC,Brasil
Isaac da Conceição,62262671542,06/01/2025,118.0,"Trevo Camila Gonçalves, 53 Carlos Prates 17382-184 Costela da Mata / MT",PB,Brasil
Srta. Agatha Aragão,21017587325,,,,PE,Brasil
Isis Ribeiro,36369864798,23/12/1916,113.0,"Rua Davi Cardoso, 28 Conjunto Providencia 32196-071 da Rosa / SP",AM,Brasil
João Pedro Melo,83288894576,10/11/1914,7.0,"Pátio Martins, 1 Buritis 69628-643 Santos do Sul / MG",RR,Brasil
Maria Clara Vieira,67793788326,06/02/1941,105.0,"Área Rocha, 7 Dom Bosco 68945554 Duarte dos Dourados / PI",MA,Brasil
Noah Lopes,90160063142,05/06/2043,116.0,"Distrito de Jesus, 531 Barão Homem De Melo 1ª Seção 17758855 Moura Grande / TO",AM,Brasil
Fernanda Pires,41423625181,26/05/2049,12.0,"Praia Mendes, 16 Ouro Minas 60136-988 Carvalho / SP",ES,Brasil
Ana Vitória Moura,16880953359,21/03/1932,14.0,"Via Alana Moreira, 18 Vale Do Jatoba 86950-633 Moura / RR",PA,Brasil
Maria Cecília Mendes,89352683705,23/03/2040,112.0,"Avenida Gonçalves, 65 Vila Nova 89438-787 Cardoso / PR",TO,Brasil
Maria Cecília Teixeira,48451230762,04/09/2030,105.0,"Passarela Teixeira, 176 Diamante 20567529 das Neves Paulista / SP",RN,Brasil
Maria Vitória Melo,94756886973,18/06/2046,108.0,"Esplanada Yago Aragão, 99 Vila Calafate 48965017 Pinto dos Dourados / MG",DF,Brasil
Maria Eduarda Moraes,75627243848,,,,TO,Brasil
Dr. João Felipe Silva,92591183192,14/12/1922,119.0,Loteamento de Duarte Marmiteiros 30562324 da Rosa Alegre / AC,PB,Brasil
Vicente Jesus,48374792489,24/03/2025,114.0,"Loteamento Antônio Pereira, 756 Minas Caixa 05894-391 Freitas de da Cunha / RN",RO,Brasil
Fernanda Barbosa,46392044127,28/01/2039,10.0,"Avenida de Pereira, 8 Parque São José 69238-293 Alves / PE",MA,Brasil
Srta. Alice Santos,38774311339,06/05/1928,106.0,"Estação Calebe Rocha, 37 Xangri-Lá 22247269 Alves / SP",ES,Brasil
Maria Clara Cunha,44890902602,,,,PI,Brasil
Dr. Murilo Costela,42526901583,01/08/1939,12.0,Residencial da Luz Silveira 31471-687 Caldeira / DF,RS,Brasil
Luana Cavalcanti,74861437927,09/07/1928,113.0,"Colônia Gonçalves, 58 João Paulo Ii 38644-954 Novaes / MG",SE,Brasil
Francisco Cunha,28208876719,11/01/1900,117.0,Esplanada Pietra Carvalho Candelaria 59874337 Gonçalves da Serra / AP,ES,Brasil
Juliana Aragão,92584357571,18/06/2046,13.0,"Morro Alexandre da Mota, 87 Vila Da Luz 55700138 Melo do Amparo / AP",CE,Brasil
Maria Aragão,62662125948,09/10/2038,109.0,"Recanto Isabella Novaes, 40 Ernesto Nascimento 26518760 da Cunha / MT",RJ,Brasil
Sra. Caroline Teixeira,83128552249,13/08/1930,2.0,"Viela Costa, 12 Vila Antena Montanhês 98132749 Caldeira / RN",TO,Brasil
Sr. Henrique Pires,66046408279,25/05/1934,118.0,"Núcleo Moura, 39 Canaa 62673499 Barros / PE",SC,Brasil
Murilo da Mata,59307708058,,,,CE,Brasil
Miguel Cavalcanti,65355367123,04/08/1918,12.0,Trecho Araújo Boa Viagem 40119-387 da Costa / MG,MG,Brasil
Nicole Fogaça,25827022986,08/12/1905,2.0,"Estrada de Viana, 239 Miramar 71762787 da Cunha de Correia / PR",RN,Brasil
Bárbara Caldeira,26082759986,20/09/1912,12.0,"Campo Castro, 60 São Francisco 88177014 Oliveira de Goiás / SC",AL,Brasil
Vitor Gabriel Ramos,71157616458,10/09/2034,103.0,"Fazenda Melo, 998 Beira Linha 72369-780 Novaes / PA",AP,Brasil
Maysa Pinto,42893201624,15/10/1915,104.0,"Lago Benício Teixeira, 50 Vila Piratininga Venda Nova 23302-606 da Rocha / CE",TO,Brasil
Maria Clara da Conceição,97730730801,04/03/1939,0.0,"Jardim Castro, 1 Silveira 64647274 Gomes da Prata / SE",SP,Brasil
Carlos Eduardo Ribeiro,44649825554,07/05/1904,2.0,"Rua de Dias, 1 Santa Rita De Cássia 10548120 Fernandes da Prata / PR",SC,Brasil
Amanda Lopes,50675246916,08/04/2029,114.0,"Setor Luana Costa, 6 Vila Real 1ª Seção 58728-116 Costela / SC",RO,Brasil
Heloísa Barros,47933285341,05/03/1920,114.0,"Viela de Pires, 1 Flamengo 82118-483 Nascimento de Goiás / AP",AC,Brasil
Luiz Miguel Pires,15584848006,05/08/1933,116.0,"Área Anthony Farias, 61 Serra 73783964 Pinto / SE",RO,Brasil
Levi Fernandes,39447621882,,,,AL,Brasil
Sr. Augusto Santos,33174751500,24/12/1934,117.0,"Pátio Rafaela Novaes, 38 Lourdes 08304-269 Cardoso / SP",TO,Brasil
Ana Júlia Campos,91870137572,12/07/2049,105.0,"Viaduto Sarah Azevedo, 32 Trevo 84196293 Martins / RJ",RN,Brasil
Emanuella Rocha,21770560363,13/12/1931,13.0,"Passarela de Fogaça, 64 Acaba Mundo 00844-435 Duarte / MA",RO,Brasil
Dr. Vicente Rocha,50425130903,21/09/1930,107.0,"Travessa de Moura, 98 Vila Jardim Alvorada 40781-950 Cunha / AM",RN,Brasil
Erick Ramos,21286052620,11/03/1902,6.0,"Avenida de Castro, 13 Barão Homem De Melo 2ª Seção 63953-475 Lima / RN",AP,Brasil
Felipe Costela,46754900461,21/07/1941,5.0,"Largo Azevedo, 8 Luxemburgo 98296-360 Teixeira da Mata / PR",AP,Brasil
Cauã Nunes,93750650662,02/06/2044,104.0,Praia Pires Jardinópolis 43771605 Souza de Viana / SE,RR,Brasil
Srta. Eduarda Souza,48915393991,28/02/1947,118.0,"Travessa de Ribeiro, 82 Boa União 1ª Seção 07602-433 Viana / AC",RO,Brasil
Davi Correia,56268879906,27/08/1920,4.0,"Rua Cunha, 418 Granja Werneck 39525617 Ferreira de Cardoso / PI",AM,Brasil
Luiz Fernando da Costa,16618098071,12/07/1947,118.0,Trecho da Rocha Novo Santa Cecilia 00183191 Martins / AP,SP,Brasil
Benjamin Monteiro,72201358260,02/08/2032,11.0,"Vila Cardoso, 50 Beija Flor 41656-736 da Paz / SP",MA,Brasil
Ana Julia Gomes,91985657259,27/01/2034,2.0,"Rua Azevedo, 966 Dom Bosco 20939-452 Caldeira do Galho / RO",PA,Brasil
Bianca Porto,81253544739,19/02/1922,15.0,"Vereda Marcos Vinicius da Cunha, 379 Lagoinha Leblon 56323104 Silveira de Ferreira / PE",RN,Brasil
Emanuella Cardoso,86596121982,01/05/1919,115.0,"Lago de Barros, 81 São Gonçalo 69781185 Cardoso / PE",TO,Brasil
Davi Lucca Carvalho,57630111771,22/02/2028,3.0,"Favela Pedro Henrique Ramos, 1 Buritis 57504-134 Silva Paulista / DF",TO,Brasil
Emilly da Rosa,79370907183,16/01/2029,115.0,"Avenida Dias, 22 União 47896-163 da Mata de Gonçalves / PB",GO,Brasil
Anthony Sales,45667933880,24/05/2041,14.0,"Viaduto Moreira, 4 Jardim Do Vale 26638166 Moraes de Castro / AM",SP,Brasil
Luigi Dias,18049319041,21/09/2050,1.0,Vale Pedro Henrique da Cruz Nazare 99793549 Gomes / ES,MG,Brasil
Dra. Mariana Rodrigues,77345615413,24/05/1915,115.0,Vila Araújo Senhor Dos Passos 24495288 Azevedo / BA,AM,Brasil
Dr. Juan da Cruz,87154982814,01/07/2032,113.0,"Quadra de Fogaça, 21 Mariquinhas 72833897 Lima do Oeste / BA",AM,Brasil
Maitê Dias,76183126952,03/11/2032,13.0,"Colônia Barbosa, 46 Aparecida 97467497 Aragão / PA",PR,Brasil
Juliana Porto,95142460704,10/11/1926,10.0,"Passarela de Silva, 2 Comiteco 03797-037 Rezende Paulista / SC",PR,Brasil
Breno Melo,43408289482,25/06/2042,117.0,"Trevo de Novaes, 1 Nossa Senhora Aparecida 81254657 Pires / RN",DF,Brasil
Calebe Sales,15153181074,15/08/2036,15.0,"Esplanada Maria Fernanda Barros, 92 Rio Branco 32206-067 Peixoto / PR",RO,Brasil
Daniel Sales,96894207575,24/09/2027,104.0,"Rodovia Lopes, 9 Graça 81859383 Mendes / RO",AM,Brasil
Marcelo Castro,34697251861,,,,ES,Brasil
Antônio da Luz,46084085828,28/06/2038,6.0,"Viaduto Bernardo Correia, 58 Vila Engenho Nogueira 19458-652 da Cruz do Oeste / PA",RS,Brasil
Ana Lívia Dias,30582902645,14/06/2032,5.0,Favela Azevedo Lorena 82036-972 Costa / RS,AM,Brasil
Gabriela Alves,32316603602,18/01/1912,111.0,"Área Clara Aragão, 94 Mangabeiras 78753-934 Aragão / SP",PB,Brasil
Yasmin Aragão,93107099847,04/03/2030,3.0,Trecho de Peixoto Flavio Marques Lisboa 59404570 Porto / PE,AL,Brasil
Pietro Lopes,61537989887,15/04/1914,10.0,"Estrada Guilherme Barros, 407 Miramar 55808482 Melo do Campo / RJ",DF,Brasil
Maitê Rocha,17532471705,10/08/1910,5.0,Fazenda Nunes Indaiá 95514-356 Pinto / PB,AL,Brasil
Cecília Martins,46995380626,,,,CE,Brasil
Maria Alice Costela,20318096460,18/09/1900,5.0,"Largo Luiz Gustavo Moraes, 86 Coração De Jesus 97584-821 Nascimento Verde / SC",RN,Brasil
Sr. Nicolas da Mata,13937706373,22/05/2043,5.0,"Vila Gonçalves, 9 Bom Jesus 29328067 da Cunha do Galho / PB",MG,Brasil
Amanda Santos,88734098814,13/11/1937,113.0,Aeroporto de Farias Vila Bandeirantes 42852809 da Paz de Rodrigues / SP,MT,Brasil
Henrique Freitas,49625342018,03/08/2026,115.0,"Morro da Luz, 12 Xodo-Marize 89984520 Sales de Carvalho / DF",PI,Brasil
João Pedro Lopes,90910181886,06/06/2048,7.0,"Rua de Porto, 60 Vila Nova Gameleira 1ª Seção 86326-666 Farias Grande / RN",PA,Brasil
Bárbara Caldeira,46704388358,11/06/1943,12.0,Praça Gabriela Caldeira Vila Santo Antônio Barroquinha 15642-066 Pires / MT,SE,Brasil
Eloah da Mota,43493481592,20/05/1930,117.0,"Residencial Lima, 948 Santa Rosa 52381-839 Correia / SE",RN,Brasil
Juliana Carvalho,73179714494,06/04/1928,5.0,"Recanto Bernardo Viana, 1 Jardim Leblon 79150425 Costela / RN",DF,Brasil
Natália Vieira,33206858837,13/04/2048,119.0,"Fazenda André Campos, 23 São Paulo 86017356 Silva / PE",RJ,Brasil
Marina Souza,24572211012,27/10/2037,107.0,"Vale de Aragão, 96 Vila Da Amizade 62669-523 Cardoso / SC",CE,Brasil
Evelyn da Paz,90732441208,07/12/2031,103.0,"Residencial de Moreira, 12 Flavio Marques Lisboa 32045-036 Costa de Goiás / MG",PI,Brasil
Ana Julia Melo,60366045842,18/06/2026,5.0,"Passarela Viana, 4 Conjunto São Francisco De Assis 38204220 Barbosa de Costela / MT",AL,Brasil
Pietro Vieira,65441814116,17/11/2033,102.0,"Aeroporto Alexia Melo, 812 Candelaria 93103-164 Cunha / MT",ES,Brasil
Luiz Miguel Campos,51050607109,17/07/1920,116.0,"Conjunto de Dias, 13 Alpes 14217-688 da Cruz / SE",PI,Brasil
Sr. Breno Teixeira,84055210679,06/03/2033,115.0,"Praia Ana Júlia Vieira, 93 Jardim Alvorada 30100-410 da Mota / CE",PE,Brasil
João Gabriel Peixoto,18463990678,06/02/2037,1.0,"Núcleo da Cruz, 61 Vista Alegre 58661783 Nogueira / SC",DF,Brasil
Heitor Campos,64649840400,26/07/2037,116.0,"Travessa de Viana, 21 Nossa Senhora Do Rosário 13218235 Vieira de Goiás / AL",MS,Brasil
Valentina Freitas,33275010729,13/09/1925,117.0,"Estação Sofia Porto, 59 Corumbiara 20811306 Gonçalves das Pedras / PI",AP,Brasil
Marcelo Caldeira,37849912257,18/07/1904,13.0,"Largo Pinto, 2 Nossa Senhora Do Rosário 02910695 Gonçalves / MG",BA,Brasil
Murilo Silva,32107312222,25/01/1942,7.0,Feira Marcelo Ramos Fernão Dias 92594-030 da Costa / PI,AP,Brasil
Sophie Sales,26378169479,21/01/2029,1.0,"Rodovia Silva, 272 Pompéia 90268698 Araújo / PI",PB,Brasil
Maitê Carvalho,91489621136,09/10/2040,3.0,"Alameda Ribeiro, 33 Nossa Senhora Do Rosário 34869843 Alves / ES",CE,Brasil
Enzo Souza,36809896881,03/02/1910,3.0,Alameda Murilo Carvalho Alípio De Melo 56152461 Moraes / RN,MS,Brasil
Marcos Vinicius Gonçalves,92579451820,08/06/1901,114.0,"Parque Luigi Mendes, 93 Vila Independencia 3ª Seção 25022824 da Paz do Amparo / GO",RN,Brasil
Natália Gonçalves,80707031768,,,,SC,Brasil
João Gabriel da Mota,16993593647,13/12/2039,119.0,"Setor de Freitas, 64 Santana Do Cafezal 69161105 da Cunha / ES",AP,Brasil
Ana Clara Costa,78323697592,,,,PE,Brasil
Laís Rodrigues,63669476148,19/01/1927,117.0,"Rua de Pereira, 1 Vila Suzana Segunda Seção 67397316 Novaes / MA",SC,Brasil
Isabella Alves,60773540393,09/07/1922,104.0,"Praia Clara Vieira, 46 Barão Homem De Melo 1ª Seção 32588878 Cunha das Flores / AL",PB,Brasil
Laís Teixeira,11692339568,17/06/2047,116.0,Conjunto Emanuella Lopes Leticia 53773-118 Castro Verde / AC,AL,Brasil
Bianca Sales,82007617202,10/11/2033,5.0,Colônia Moura Vila Boa Vista 66742-629 Martins / RO,PA,Brasil
Sr. Murilo Rodrigues,89894386520,26/05/1911,119.0,"Trevo de Sales, 25 Nossa Senhora Aparecida 04609-014 Fernandes / AP",MG,Brasil
Pietra Rezende,71995482738,02/01/2036,2.0,"Trevo de Viana, 31 Grotinha 25452231 Freitas / SE",PR,Brasil
Theo Peixoto,29433559148,10/12/1915,110.0,"Travessa Heitor da Conceição, 423 Saudade 00403609 Duarte do Galho / MG",AM,Brasil
Cauê Caldeira,33740685801,01/04/1945,120.0,"Pátio Thiago Ferreira, 886 Jardim Do Vale 39659903 Nogueira de Caldeira / AP",SP,Brasil
Maria Alice Peixoto,71984333724,04/05/1914,101.0,"Conjunto Manuela Moraes, 46 Trevo 69854-101 Rocha das Pedras / SP",PI,Brasil
João Vitor Cardoso,50495167445,15/12/2043,107.0,"Sítio Freitas, 769 Vila Santa Rosa 55413697 Farias / AP",SP,Brasil
Bernardo Teixeira,58044379756,25/05/2043,11.0,"Colônia Maria Clara Santos, 17 Maria Virgínia 03858-196 Monteiro Verde / MG",PA,Brasil
Mariane Rezende,85913524592,26/11/1934,13.0,Vereda de Lopes São Geraldo 45114174 Ribeiro de Araújo / BA,AC,Brasil
Mariane Nunes,23752554868,25/03/2030,12.0,"Vereda Lívia Souza, 45 Vila Da Paz 54168-889 Viana da Prata / MG",PE,Brasil
Ana Júlia Correia,23006592674,08/08/1909,105.0,"Morro de Mendes, 33 São Jorge 1ª Seção 41125-042 Silva das Pedras / MS",AL,Brasil
Raul Moura,28828353542,18/10/2036,10.0,"Vereda Luiza Novaes, 6 Aeroporto 11830090 Lopes de da Mata / RN",AL,Brasil
Luiz Felipe Barbosa,58657774117,23/03/1923,106.0,"Conjunto Yasmin Correia, 5 São Paulo 90077605 Castro de Ferreira / MG",GO,Brasil
Sra. Rebeca Barros,53576867957,09/12/2050,116.0,"Viela Barros, 1 Ernesto Nascimento 13769-721 Caldeira / PI",SP,Brasil
Helena Rocha,42931919828,,,,DF,Brasil
Dr. Alexandre Pinto,16940118983,19/09/1915,13.0,"Trecho Porto, 6 Serrano 20881309 Lima / AL",SE,Brasil
Agatha Porto,77674952930,28/06/1908,108.0,"Campo de Novaes, 36 Camponesa 1ª Seção 96978994 Dias / MT",RR,Brasil
Kamilly Sales,25279737191,13/09/2028,110.0,"Ladeira Vitor Gabriel Alves, 38 Pedreira Padro Lopes 91137-466 Cavalcanti / RS",PA,Brasil
João Miguel Duarte,85577662604,15/10/2032,117.0,"Viaduto de Oliveira, 22 Acaiaca 85188-980 Campos Alegre / SE",AM,Brasil
